Date,Google,Facebook,Apple
2019-10-17,62.6535,190.389999,57.547451
2019-10-18,62.274502,185.850006,57.823841
2019-10-21,62.307499,189.759995,58.82666
2019-10-22,62.139999,182.339996,58.692142
2019-10-23,62.956501,186.149994,59.479721
2019-10-24,63.0495,186.380005,59.577568
2019-10-25,63.2565,187.889999,60.311333
2019-10-28,64.5,189.399994,60.91547
2019-10-29,63.131001,189.309998,59.506626
2019-10-30,63.064499,188.25,59.499287
2019-10-31,63.005501,191.649994,60.844543
2019-11-01,63.687,193.619995,62.57135
2019-11-04,64.568497,194.720001,62.982269
2019-11-05,64.601501,194.320007,62.891777
2019-11-06,64.589996,191.550003,62.918667
2019-11-07,65.443001,190.419998,63.644825
2019-11-08,65.568497,190.839996,63.819027
2019-11-11,64.959503,189.610001,64.324379
2019-11-12,64.940002,194.470001,64.265511
2019-11-13,64.900002,193.190002,64.881287
2019-11-14,65.572998,193.149994,64.432335
2019-11-15,66.7435,195.100006,65.197746
2019-11-18,66.035004,197.399994,65.526497
2019-11-19,65.773003,199.320007,65.327766
2019-11-20,65.152496,197.509995,64.567261
2019-11-21,65.067497,197.929993,64.277779
2019-11-22,64.766998,198.820007,64.221359
2019-11-25,65.334503,199.789993,65.347389
2019-11-26,65.677498,198.970001,64.83712
2019-11-27,65.649498,202.0,65.708031
2019-11-29,65.248001,201.639999,65.563301
2019-12-02,64.496002,199.699997,64.805229
2019-12-03,64.764,198.820007,63.649754
2019-12-04,66.027,198.710007,64.211533
2019-12-05,66.406502,199.360001,65.153587
2019-12-06,67.030998,201.050003,66.412102
2019-12-09,67.178001,201.339996,65.48233
2019-12-10,67.233002,200.869995,65.865036
2019-12-11,67.250999,202.259995,66.426826
2019-12-12,67.513496,196.75,66.596107
2019-12-13,67.391502,194.110001,67.501358
2019-12-16,68.058502,197.919998,68.656837
2019-12-17,67.755997,198.389999,68.791771
2019-12-18,67.630997,202.5,68.627403
2019-12-19,67.802002,206.059998,68.696098
2019-12-20,67.4795,206.300003,68.55381
2019-12-23,67.442001,206.179993,69.672493
2019-12-24,67.178001,205.119995,69.738724
2019-12-26,68.019997,207.789993,71.122375
2019-12-27,67.594498,208.100006,71.095375
2019-12-30,66.806999,204.410004,71.517334
2019-12-31,66.850998,205.25,72.039879
2020-01-02,68.3685,209.779999,73.683571
2020-01-03,68.032997,208.669998,72.967224
2020-01-06,69.710503,212.600006,73.548622
2020-01-07,69.667,213.059998,73.202736
2020-01-08,70.216003,215.220001,74.38028
2020-01-09,70.991501,218.300003,75.960197
2020-01-10,71.486504,218.059998,76.13192
2020-01-13,71.961502,221.910004,77.75843
2020-01-14,71.543999,219.059998,76.708427
2020-01-15,71.959999,221.149994,76.379707
2020-01-16,72.584999,221.770004,77.336456
2020-01-17,74.019501,222.139999,78.192657
2020-01-21,74.220001,221.440002,77.662758
2020-01-22,74.297501,221.320007,77.939964
2020-01-23,74.332497,219.759995,78.315308
2020-01-24,73.335503,217.940002,78.089607
2020-01-27,71.695,214.869995,75.793365
2020-01-28,72.627998,217.789993,77.937515
2020-01-29,72.931503,223.229996,79.568932
2020-01-30,72.792,209.529999,79.453621
2020-01-31,71.711502,201.910004,75.930756
2020-02-03,74.296997,204.190002,75.722214
