priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
5825.791855,2021,23/02/2021,F,L,515000,GU25 4ST,E07000212,{C3C3F9B6-50A2-362B-E053-6B04A8C03ACC},12263496,88.4,3,12,74,78,England and Wales: 1996-2002
5449.438202,2021,14/06/2021,F,L,485000,GU25 4ST,E07000212,{D22473F6-0E27-7B40-E053-6C04A8C0A630},12286866,89,4,12,71,78,England and Wales: 1996-2002
4639.175258,2021,06/04/2021,F,L,450000,GU25 4ST,E07000212,{C8A3A576-A2F0-0425-E053-6C04A8C0947B},12262438,97,3,11,74,79,England and Wales: 1996-2002
6360,2021,28/06/2021,F,L,795000,GU25 4SU,E07000212,{CB0035E6-3AB8-58AE-E053-6B04A8C091AF},12284853,125,5,11,77,79,England and Wales: 1996-2002
5769.230769,2021,28/05/2021,T,F,975000,GU25 4SY,E07000212,{D22473F6-0DEF-7B40-E053-6C04A8C0A630},12264076,169,6,12,71,80,England and Wales: 1991-1995
6120.37037,2021,12/10/2021,T,F,991500,GU25 4SY,E07000212,{E073986B-C423-2134-E053-6C04A8C0233B},12261286,162,6,12,32,70,England and Wales: before 1900
6447.963801,2021,26/11/2021,T,F,1425000,GU25 4SY,E07000212,{D4D42646-5DAC-27F6-E053-6C04A8C0A572},12278493,221,7,12,54,79,England and Wales: before 1900
4585.798817,2021,25/08/2021,F,F,1550000,GU25 4SY,E07000212,{D707E535-FA58-0AD9-E053-6B04A8C067CC},12287017,338,6,11,40,68,England and Wales: before 1900
6679.389313,2021,02/02/2021,F,F,1750000,GU25 4SY,E07000212,{BEF7EBBF-544F-7A76-E053-6B04A8C092F7},12266925,262,8,11,66,77,England and Wales: 1996-2002
5878.980892,2021,28/06/2021,T,F,923000,GU25 4SZ,E07000212,{D4D42646-5D79-27F6-E053-6C04A8C0A572},12279160,157,6,11,71,80,England and Wales: 1996-2002
5412.371134,2021,30/06/2021,T,F,1050000,GU25 4TA,E07000212,{D22473F6-0E46-7B40-E053-6C04A8C0A630},12277238,194,7,11,72,81,England and Wales: 2003-2006
5022.026432,2021,25/06/2021,T,F,1140000,GU25 4TA,E07000212,{D22473F6-0E3A-7B40-E053-6C04A8C0A630},12263194,227,6,12,71,81,England and Wales: 1991-1995
4924.242424,2021,23/08/2021,T,F,975000,GU25 4TA,E07000212,{D707E535-FA84-0AD9-E053-6B04A8C067CC},12258808,198,9,12,74,83,England and Wales: 1996-2002
5545.454545,2021,29/01/2021,T,F,915000,GU25 4TB,E07000212,{D707E535-FA9B-0AD9-E053-6B04A8C067CC},12282386,165,5,12,70,78,England and Wales: 1996-2002
4827.586207,2021,17/12/2021,T,F,980000,GU25 4TB,E07000212,{D707E535-FA90-0AD9-E053-6B04A8C067CC},12278418,203,2,12,77,83,England and Wales: 2007 onwards
5322.580645,2021,03/12/2021,D,F,1650000,GU25 4TD,E07000212,{D4D42646-5DDC-27F6-E053-6C04A8C0A572},12276771,310,9,11,63,72,England and Wales: 1991-1995
8875,2021,29/10/2021,D,F,1065000,KT13 8XY,E07000212,{D22473F6-0897-7B40-E053-6C04A8C0A630},12282706,120,5,11,34,65,England and Wales: 1996-2002
8191.489362,2021,18/06/2021,D,F,1925000,KT13 8YB,E07000212,{D93B27B1-5C20-3100-E053-6C04A8C08887},12263696,235,8,12,74,83,England and Wales: 1950-1966
8238.153098,2021,06/04/2021,D,F,1695000,KT13 8YE,E07000212,{D707E535-F5E0-0AD9-E053-6B04A8C067CC},12273784,205.75,NA,11,68,71,NO DATA!
4113.475177,2021,20/04/2021,S,F,580000,KT15 1AA,E07000212,{CFC9085D-12C8-9A70-E053-6B04A8C09D6A},12286226,141,8,11,40,77,England and Wales: 1900-1929
5114.285714,2021,15/02/2021,D,F,895000,KT15 1AA,E07000212,{C3C3F9B6-520F-362B-E053-6B04A8C03ACC},12264364,175,7,12,57,82,England and Wales: before 1900
4085.714286,2021,28/10/2021,D,F,572000,KT15 1AG,E07000212,{D22473F6-0817-7B40-E053-6C04A8C0A630},12287514,140,6,11,67,79,England and Wales: 1950-1966
4566.929134,2021,10/09/2021,D,F,580000,KT15 1AG,E07000212,{D707E535-F522-0AD9-E053-6B04A8C067CC},12283077,127,6,11,87,89,England and Wales: 1950-1966
5258.426966,2021,17/05/2021,S,F,468000,KT15 1AL,E07000212,{CD5A9DCC-59AC-310A-E053-6C04A8C00A1F},12263581,89,4,11,65,85,England and Wales: 1950-1966
4008.62069,2021,28/01/2021,S,F,465000,KT15 1AS,E07000212,{D707E535-F826-0AD9-E053-6B04A8C067CC},12273484,116,7,11,74,84,England and Wales: 1967-1975
6164.383562,2021,12/03/2021,T,F,450000,KT15 1AS,E07000212,{C6209F5F-DD93-295E-E053-6C04A8C0DDCC},12260222,73,NA,11,81,93,NO DATA!
7555.555556,2021,15/11/2021,D,F,408000,KT15 1AW,E07000212,{DBA933F9-FFB2-669D-E053-6B04A8C0AD56},12287239,54,3,11,29,89,England and Wales: 1930-1949
3989.361702,2021,30/07/2021,D,F,750000,KT15 1AW,E07000212,{D707E535-F4CA-0AD9-E053-6B04A8C067CC},12258275,188,6,12,79,85,England and Wales: 1930-1949
4414.414414,2021,05/01/2021,S,F,490000,KT15 1AW,E07000212,{BC8936BB-FBEA-0E2C-E053-6C04A8C0DBF4},12285874,111,4,11,60,81,England and Wales: 1930-1949
6895.689655,2021,18/06/2021,S,F,399950,KT15 1AW,E07000212,{CD5A9DCC-563F-310A-E053-6C04A8C00A1F},12285639,58,3,11,59,85,England and Wales: 1930-1949
4136.690647,2021,04/02/2021,D,F,575000,KT15 1AW,E07000212,{C3C3F9B6-4C99-362B-E053-6B04A8C03ACC},12284327,139,5,11,67,82,England and Wales: 1930-1949
6666.666667,2021,12/02/2021,S,F,460000,KT15 1AW,E07000212,{C3C3F9B6-5212-362B-E053-6B04A8C03ACC},12258014,69,3,12,62,86,England and Wales: 1930-1949
4116.766467,2021,28/06/2021,D,F,687500,KT15 1AW,E07000212,{D22473F6-11A8-7B40-E053-6C04A8C0A630},12262724,167,5,12,76,85,England and Wales: 1900-1929
