,datetime,duration,title,genres,release_date,movie_id,user_id
164,2017-01-01 21:32:30,10611.0,Eddie the Eagle,"Biography, Comedy, Drama, Sport",2016-02-26,339460099f,d64c684880
165,2017-01-01 21:41:52,755562.0,The Family,"Comedy, Crime, Thriller",2013-09-13,7ad981e8e8,aa0e997bcf
166,2017-01-01 21:45:42,59325.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,51c63b6d09
167,2017-01-01 22:27:38,6430.0,The DUFF,"Comedy, Romance",2015-02-20,cca7749d82,bfebef8ce9
168,2017-01-01 23:06:36,71231.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,2b512ec234
169,2017-01-01 13:37:40,14340.0,Push,"Action, Sci-Fi, Thriller",2009-02-06,c7c124e409,3195ebddb2
170,2017-01-01 15:35:48,5181.0,Evil Dead,"Fantasy, Horror, Thriller",2013-04-05,c88ba7b1af,e49daf2eff
171,2017-01-01 16:36:58,7270.0,Trophy Kids,Documentary,2013-12-04,fc17d84201,d2b1123bae
172,2017-01-01 17:22:21,3820.0,A Dog's Life,Comedy,2013-03-05,272275f243,a57c992287
173,2017-01-01 17:27:46,588.0,Escorts,Documentary,2015-05-21,2dfb5d54fe,6479fab4ae
174,2017-01-01 19:20:01,336.0,Ex Machina,"Drama, Mystery, Sci-Fi",2015-04-24,eddd003dbb,b30610e025
175,2017-01-01 20:38:41,2757.0,Interview with a Serial Killer,"Documentary, Crime",NOT AVAILABLE,c90cf8bbe0,dfeca64b8b
176,2017-01-01 02:30:40,133046.0,The Daughter,Drama,2017-01-27,3721eb5eb0,7c79a7b7ad
177,2017-01-01 10:33:08,5415.0,Hurricane Bianca,"Comedy, Drama",2016-09-19,534a95bf05,44412c3bf6
178,2017-01-01 12:03:47,715.0,At the Sinatra Club,Short,2011-02-15,bd1aabe8c2,d3b4bde8ce
179,2017-01-01 15:25:44,6239.0,The DUFF,"Comedy, Romance",2015-02-20,cca7749d82,18c10ac8e5
180,2017-01-01 16:02:28,6344.0,The Family,"Comedy, Crime, Thriller",2013-09-13,7ad981e8e8,c159875228
181,2017-01-01 16:25:38,5261.0,Ratchet and Clank,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",2016-04-29,b264b980a6,5800138d48
182,2017-01-01 16:57:03,1452468.0,"Inside A Cult, Messiah on Trial",NOT AVAILABLE,NOT AVAILABLE,14714e8cbc,af7f0376a1
183,2017-01-01 17:54:21,528.0,Zeitgeist: Addendum,"Documentary, History, War",2008-10-02,12b1284e9b,0b424868ca
184,2017-01-01 18:26:01,3036.0,The Lion in Your Living Room,NOT AVAILABLE,NOT AVAILABLE,86e19d79b2,a57c992287
185,2017-01-01 20:42:52,5159.0,The Fundamentals of Caring,"Comedy, Drama",2016-06-24,93cacc361c,a4e82c4388
186,2017-01-01 22:05:49,5435.0,(T)ERROR,Documentary,2015-10-08,8afc9a2c29,f0506de254
187,2017-01-01 22:45:27,582341.0,The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi, Thriller",2015-11-20,af6acf3874,0bd37926e0
188,2017-01-01 22:46:14,152124.0,Megamind,"Animation, Action, Comedy, Family, Sci-Fi",2010-11-05,646e06bbec,65405b17ef
189,2017-01-01 00:38:22,50805.0,Zookeeper,"Comedy, Family, Fantasy, Romance",2011-07-08,8762763a6b,5b1727dc12
190,2017-01-01 01:40:56,36121.0,Visions,NOT AVAILABLE,NOT AVAILABLE,18f52496b8,959ba23988
