Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62df9b72eca0746239b179e0,5f2acd4b53b8533a53c7bc89,APPROVED,2022-07-26T07:44:50.438000Z,2022-07-26T07:49:53.177000Z,2022-07-27T11:21:41.174000Z,,303,MBIMZO1R,1052,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62df9b73d5e829ea5f055b01,5981d55b04ebec0001aaadde,APPROVED,2022-07-26T07:45:17.885000Z,2022-07-26T08:06:31.528000Z,2022-07-27T11:22:22.694000Z,,1274,MBIMZO1R,1326,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62df9b75033742f0f66dce1b,62a882f2dc6e6b6b98199b8c,APPROVED,2022-07-26T07:45:00.606000Z,2022-07-26T07:51:13.557000Z,2022-07-27T11:22:23.690000Z,,373,MBIMZO1R,438,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b75ccb05f1c11c1280f,5e9027110aacc7320bd9a84b,APPROVED,2022-07-26T07:45:04.834000Z,2022-07-26T07:51:23.939000Z,2022-07-27T11:22:23.024000Z,,380,MBIMZO1R,1334,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
62df9b76e1703168ad7a5e16,5fbfffc4e214a60ab1b745fd,APPROVED,2022-07-26T07:44:56.950000Z,2022-07-26T07:49:49.132000Z,2022-07-27T11:22:24.402000Z,,293,MBIMZO1R,1050,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b77167ec1a0540ed219,5afdda0456fe2c0001690b1e,APPROVED,2022-07-26T07:44:59.232000Z,2022-07-26T07:49:17.041000Z,2022-07-27T11:22:23.959000Z,,258,MBIMZO1R,1006,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62df9b775b5738888c3d27ca,5d51c32fd08b91001718c624,APPROVED,2022-07-26T07:44:55.577000Z,2022-07-26T07:51:27.386000Z,2022-07-27T11:21:40.695000Z,,392,MBIMZO1R,680,42,Female,Asian,India,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62df9b78d0abb9b2f5381ea3,5f589d27b9bdc9016c605c7e,APPROVED,2022-07-26T07:44:56.581000Z,2022-07-26T07:50:54.684000Z,2022-07-27T11:22:24.584000Z,,359,MBIMZO1R,300,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62df9b78e5a22fbcdb67dc8b,5e528b8dc6506d29e9ac3f75,APPROVED,2022-07-26T07:46:01.639000Z,2022-07-26T07:52:21.158000Z,2022-07-27T11:22:22.392000Z,,380,MBIMZO1R,631,41,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62df9b7929986d518ac50e91,55885582fdf99b4021921fbd,APPROVED,2022-07-26T07:44:57.100000Z,2022-07-26T07:55:44.302000Z,2022-07-27T11:22:24.237000Z,,648,MBIMZO1R,3189,67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62df9b796154e7009cc9a3c1,5c7427d637793100010f8bff,APPROVED,2022-07-26T07:44:57.400000Z,2022-07-26T08:03:21.943000Z,2022-07-27T11:22:24.095000Z,,1105,MBIMZO1R,1052,26,Female,Other,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
62df9b79b94a00cb5ababedc,5f778d553167a12eae0e1c00,APPROVED,2022-07-26T07:44:59.983000Z,2022-07-26T07:50:16.584000Z,2022-07-27T11:22:23.823000Z,,317,MBIMZO1R,1188,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b7befc15a0ecffb8802,5e28912b5fc38506bbd1666c,APPROVED,2022-07-26T07:45:01.571000Z,2022-07-26T07:52:20.690000Z,2022-07-27T11:22:23.524000Z,,440,MBIMZO1R,1060,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
62df9b7c63a5086b52cb3fcd,5cadb168466544001a69832d,APPROVED,2022-07-26T07:45:03.146000Z,2022-07-26T07:53:42.003000Z,2022-07-27T11:22:23.169000Z,,519,MBIMZO1R,204,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
