A_YEAR, Q46 (Happiness),"Q260 (Gender, 1 Male, 2 Female)",Q262 (Age),"Q288 (Income Scale, 1 - Low, 10 - High)"
2018,2,1,44,6
2018,1,1,40,5
2018,2,1,32,7
2018,2,1,58,5
2018,2,1,28,8
2018,2,1,49,5
2018,1,1,35,5
2018,1,1,72,2
2018,1,1,28,2
2018,2,1,31,5
2018,2,1,34,6
2018,2,1,36,3
2018,1,1,43,5
2018,2,1,70,5
2018,1,1,71,5
2018,2,2,55,6
2018,2,1,71,4
2018,2,1,72,3
2018,2,2,56,2
2018,1,2,35,3
2018,2,2,64,5
2018,2,1,67,6
2018,2,1,62,3
2018,2,1,45,4
2018,2,1,33,7
2018,1,1,64,5
2018,1,1,73,5
2018,1,2,59,7
2018,2,1,53,8
2018,1,2,48,-2
2018,2,2,22,4
2018,1,2,29,5
2018,1,2,33,6
2018,2,1,53,4
2018,2,1,69,2
2018,2,1,60,-2
2018,2,2,66,4
2018,2,1,81,10
2018,2,1,74,-2
2018,1,1,81,6
2018,1,1,22,8
2018,1,1,44,4
2018,2,2,43,7
2018,1,2,58,7
2018,2,2,62,8
2018,2,2,38,6
2018,2,2,43,6
2018,2,2,75,6
2018,2,2,47,7
2018,2,1,24,4
2018,2,1,57,4
2018,2,2,28,4
2018,2,2,30,4
2018,2,2,35,3
2018,2,2,36,4
2018,2,2,46,7
2018,2,2,34,4
2018,2,1,32,4
2018,2,1,18,5
2018,2,1,40,4
2018,1,1,45,4
2018,2,1,25,5
2018,1,1,38,4
2018,2,1,54,4
2018,2,1,22,4
2018,2,1,24,6
2018,2,1,78,4
2018,2,1,33,4
2018,2,1,22,4
2018,2,1,39,6
2018,2,1,55,4
2018,1,1,55,7
2018,1,1,32,5
2018,3,1,40,7
2018,2,1,54,3
2018,2,1,41,-2
2018,2,1,38,6
2018,1,1,27,-2
2018,2,1,33,4
2018,3,2,74,4
2018,2,1,62,7
2018,1,2,36,8
2018,2,2,48,6
2018,2,2,41,8
2018,1,1,38,7
2018,2,1,49,8
2018,1,1,52,10
2018,1,2,51,10
2018,2,1,27,6
2018,1,1,36,8
2018,2,2,26,7
2018,2,2,40,7
2018,1,1,48,7
2018,2,1,63,9
2018,1,1,30,3
2018,1,1,38,6
2018,1,1,58,6
2018,2,1,52,4
2018,2,2,30,4
2018,2,1,20,7
2018,2,1,30,6
2018,1,1,56,4
2018,2,1,47,5
2018,1,2,55,6
2018,2,2,42,5
2018,2,2,28,5
