,Code,Year,Population (England),Annual CO₂ emissions (per capita),Total CO2 emissions,Relative per capita CO2 emissions,Relative total CO2 emissions
45,GBR,1840-01-01,14769000,3.0426993,44937625.9617,302.240896191597,758.1174925023261
46,GBR,1841-01-01,14937000,3.0602708,45711264.9396,303.98632858034165,771.1691219437097
47,GBR,1842-01-01,15073000,3.1817284,47958192.1732,316.0510941893785,809.0757715211449
48,GBR,1843-01-01,15264000,3.3151028,50601729.1392,329.299593042031,853.673401527439
49,GBR,1844-01-01,15455000,3.4724026,53665982.183,344.92467716478967,905.368696600174
50,GBR,1845-01-01,15648000,3.7084117,58029226.2816,368.3682037378468,978.9785414554731
51,GBR,1846-01-01,15841000,3.5434093,56131146.7213,351.9779961186567,946.9571053864878
52,GBR,1847-01-01,16035000,3.8281,61383583.5,380.2572192102757,1035.5680214057015
53,GBR,1848-01-01,16230000,4.0336947,65466864.981,400.67958772373424,1104.4547739056059
54,GBR,1849-01-01,16426000,4.270958,70154756.10800001,424.24769792949,1183.541556757779
55,GBR,1850-01-01,16622000,4.498514,74774299.708,446.851551479453,1261.4752868022194
56,GBR,1851-01-01,16820000,4.26117,71672879.39999999,423.27542508875166,1209.152963653669
57,GBR,1852-01-01,17018000,4.2234073,71873945.4314,419.524337266628,1212.5450359380902
58,GBR,1853-01-01,17218000,4.174019,71868259.142,414.6184420132326,1212.4491057377445
59,GBR,1854-01-01,17418000,4.9986124,87065830.7832,496.5278992539386,1468.83881610141
60,GBR,1855-01-01,17618000,4.651625,81952329.25,462.06054891695584,1382.5717987124538
61,GBR,1856-01-01,17820000,4.9747477,88650004.014,494.1573435058422,1495.5645144826951
62,GBR,1857-01-01,18021000,4.855322,87497757.76200001,482.29441291775925,1476.1256139930265
63,GBR,1858-01-01,18223000,4.728981,86176220.763,469.7445638197092,1453.8307042266576
64,GBR,1859-01-01,18426000,5.215414,96099218.364,518.0634844101096,1621.2360332440014
65,GBR,1860-01-01,18629000,5.7975526,108002607.38540001,575.8891434135221,1822.051435572436
66,GBR,1861-01-01,18833000,5.996855,112938770.215,595.6864779674611,1905.3266711211268
67,GBR,1862-01-01,19073000,5.7593393,109847878.4689,572.0932960754566,1853.1819694373617
68,GBR,1863-01-01,19315000,6.07309,117301733.35,603.2591404126676,1978.931775997058
69,GBR,1864-01-01,19561000,6.4790716,126737119.5676,643.5865702777544,2138.110886753253
70,GBR,1865-01-01,19810000,6.8079658,134865802.498,676.2566661233144,2275.2453389780667
71,GBR,1866-01-01,20062000,6.955592,139543086.704,690.9208411173271,2354.153178413012
72,GBR,1867-01-01,20317000,7.080667,143857911.439,703.3449344515465,2426.9461673322135
73,GBR,1868-01-01,20575000,6.8866873,141693591.1975,684.0763204380036,2390.433134003384
74,GBR,1869-01-01,20837000,7.162293,149240699.241,711.4531018910747,2517.7561623818488
75,GBR,1870-01-01,21102000,7.2496405,152981913.831,720.1296039299373,2580.8720961497174
76,GBR,1871-01-01,21376000,7.607867,162625764.99199998,755.7133694369589,2743.568102086351
77,GBR,1872-01-01,21669000,7.938176,172012335.74400002,788.5240018185914,2901.9236744916875
78,GBR,1873-01-01,21966000,8.157938,179197266.10799998,810.3536528225067,3023.136606300812
